"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Apr 18 15:00:01 +0000 2023","1648340613828337666","Ketika tidur mau lelap  tiba-tiba baru ke inget belom beli Indomie kuah Soto Mie buat sahur 😐 https://t.co/neh8aW0GK6","0","0","0","7","in","284428760","1648340613828337666","Indomielovers","https://twitter.com/Indomielovers/status/1648340613828337666","https://pbs.twimg.com/ext_tw_video_thumb/1647849446875754497/pu/img/onkU-4umIJHYE9bM.jpg","Indonesia"
"Thu Sep 07 05:59:04 +0000 2023","1699663554042040686","@askieurs Maaf ya Kak  blok mie nya jadi berjamur... cuss melipir ke dm yuk? Mohon bisa mengirimkan foto di atas sekalian foto kode produksi dan tanggal kadaluarsa produk tersebut ya. Terima kasih 🙏","0","1","0","0","in","284428760","1699424631348719939","Indomielovers","https://twitter.com/Indomielovers/status/1699663554042040686","","Indonesia"
"Mon Oct 23 05:22:54 +0000 2023","1716324295218253836","@hugjeyz Maafin Indomie ya Kak minyaknya bocor... yuk ke dm yuk? Kita marahin minyaknya. Mohon bisa melampirkan foto kondisi mie dan bumbu  foto kode produksi dan tanggal kadaluarsa juga ya. Terima kasih 🙏.","0","1","0","0","in","284428760","1715691359234105488","Indomielovers","https://twitter.com/Indomielovers/status/1716324295218253836","","Indonesia"
"Mon Oct 23 05:23:51 +0000 2023","1716324535547601011","@Fahrizakp Mohon maaf ya Kak  cuss ke dm yuk? Mohon untuk melampirkan foto kondisi mie dan bumbu  foto kode produksi dan tanggal kadaluarsa juga ya. Terima kasih 🙏.","0","0","0","0","in","284428760","1715688452040315070","Indomielovers","https://twitter.com/Indomielovers/status/1716324535547601011","","Indonesia"
"Mon Oct 23 05:21:52 +0000 2023","1716324035058135306","@momo_chili Yah maaf Kak kecapnya bocor  jika berkenan bisa yuk cuss ke dm Indomie. Mohon bisa melampirkan foto kondisi mie dan bumbu  foto kode produksi dan tanggal kadaluarsa juga ya. Terima kasih 🙏.","0","1","0","1","in","284428760","1715715661970968862","Indomielovers","https://twitter.com/Indomielovers/status/1716324035058135306","","Indonesia"
"Thu Apr 13 03:16:52 +0000 2023","1646351721323712513","@PortgasD_vira @indofood @indofood_cbp Mohon maaf ya Kak bumbunya hilang  jika berkenan yuk sini sini mampir ke dm Indomie. Jangan lupa untuk menyertakan video di atas  foto mie dan bumbu  foto kode produksi  dan serta foto tanggal kadaluarsa produk yang bermasalah ya. Terima kasih 🙏.","0","0","0","0","in","284428760","1646258565475364864","Indomielovers","https://twitter.com/Indomielovers/status/1646351721323712513","","Indonesia"
"Fri Sep 15 02:55:59 +0000 2023","1702516581929218163","@AsnawiKun 😱 maaf ya Kaa... tapi ada hack terbaru  caranya Kakak bisa langsung cuss ke dm Indomie lalu melampirkan foto kode produksi dan tanggal kadaluarsa serta foto kondisi mie dan bumbu. Terima kasih 🙏.","0","0","0","3","in","284428760","1699305217274384420","Indomielovers","https://twitter.com/Indomielovers/status/1702516581929218163","","Indonesia"
"Mon Feb 13 03:40:09 +0000 2023","1624976693621575681","@azfxjh Halo Kak  mohon maaf atas ketidaknyamanannya. Jika berkenan boleh mengirimkan foto di atas ke dm Indomie  juga foto kondisi blok mie dan bumbu ya. Terima kasih 🙏.","0","1","0","0","in","284428760","1624625504329560064","Indomielovers","https://twitter.com/Indomielovers/status/1624976693621575681","","Indonesia"
"Mon Feb 13 03:24:05 +0000 2023","1624972652241899521","@lopmatchaaa Maafin aku Kak  sini sini kirimin foto kondisi mie dan bumbunya juga foto kode produksi dan tanggal kadaluarsa ke dm Indomie ya. Maacih 😟🙏.","0","1","0","0","in","284428760","1624740496722763782","Indomielovers","https://twitter.com/Indomielovers/status/1624972652241899521","","Indonesia"
"Wed Aug 02 09:39:11 +0000 2023","1686672986735366145","@ulfi__na Hiks maafin Indomie bumbunya melarikan diri... yuk Kak kita cari sama-sama di dm? Kakak bisa mengirimkan foto kode produksi dan tanggal kadaluarsa produknya  serta foto kondisi mie dan bumbunya juga ya. Terima kasih 🙏.","0","1","0","0","in","284428760","1686402180964859904","Indomielovers","https://twitter.com/Indomielovers/status/1686672986735366145","","Indonesia"
