created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Sep 04 06:55:39 +0000 2023;1698590630216417466;"Mie Lemonilo Spekta Rasa Ramen Jepang bisa kamu beli secara online di website atau aplikasi Lemonilo dan Official Store Lemonilo di Shopee, Tokopedia dan Tiktok Shop. Borong sekarang juga!   #mielemonilo #mielemonilospektarasa #mielemoniloramenjepang https://t.co/93epjyAmDs";0;1;0;3;in;773884744597725184;1698590630216417466;lemonilo;https://twitter.com/lemonilo/status/1698590630216417466
Mon Sep 04 06:52:57 +0000 2023;1698589951724753354;"Liat Chef Hideki nyeruput kuah Mie Lemonilo Ramen Jepang, jadi ngiler banget deh! 🤤 Sekarang Ramen Time di rumah jadi lebih OISHIIP bareng Mie Lemonilo Spekta Rasa Ramen Jepang! Yuk, buruan cobain! #mielemonilo #mielemonilospektarasa #mielemoniloramenjepang https://t.co/JyC9QY9h7s";0;0;0;0;in;773884744597725184;1698589951724753354;lemonilo;https://twitter.com/lemonilo/status/1698589951724753354
Mon Sep 04 06:49:17 +0000 2023;1698589028856287567;"Chef Hideki aja udah cobain Mie Lemonilo Ramen Jepang, kamu kapan nih? Yuk, nikmati lezatnya citarasa ramen dalam Mie Lemonilo varian baru, Mie Lemonilo Spekta Rasa Ramen Jepang! OISHIIP!  #mielemonilo #mielemonilospektarasa #mielemoniloramenjepang https://t.co/Wz3xsBhjqL";0;0;0;0;in;773884744597725184;1698589028856287567;lemonilo;https://twitter.com/lemonilo/status/1698589028856287567
Sun Aug 20 22:59:14 +0000 2023;1693397305138012382;"@cigaftrsexharam Masih produksi kak. Mie Lemonilo dan beberapa snack seperti Chimi Ubi, Brownies Crispy, Cassamo, dan Sola Farm bisa kakak temui di Indomaret maupun Alfamart terdekat, serta beberapa supermarket lainnya. Semoga membantu ya kak 😊🙏🏻 terima kasih.";0;1;0;0;in;773884744597725184;1693008831281074594;lemonilo;https://twitter.com/lemonilo/status/1693397305138012382
Fri Aug 11 04:02:23 +0000 2023;1689849720401997824;"@ros3exx @FOOD_FESS Halo Kak,  Mie Lemonilo tetap pakai standart tanpa 3P (tanpa pengawet, tanpa penguat rasa, dan tanpa pewarna buatan) ya baik Mie maupun bumbunya. Jadi kita nggak pakai micin di Mie maupun bumbunya. Semoga menjawab ya 😊🙏🏻";0;0;0;13;in;773884744597725184;1689611517849911296;lemonilo;https://twitter.com/lemonilo/status/1689849720401997824
Thu Aug 10 13:41:08 +0000 2023;1689632978039881728;"@teleuvisi @FOOD_FESS Sekarang harga Mie Lemonilo 5 ribuan kak, semisal mau lebih murah lagi bisa pantengin Instagram Story atau TikTok Live Lemonilo juga buat promo-promo flash sale-nya. Semoga membantu 😊🙏🏻";0;0;0;11;in;773884744597725184;1689611517849911296;lemonilo;https://twitter.com/lemonilo/status/1689632978039881728
Thu Aug 10 13:36:13 +0000 2023;1689631742624464896;"@Indriaamala @naasrul @FOOD_FESS Betul! Sekarang harga Mie Lemonilo jadi 5 ribuan 😁   Selain itu dari segi rasa, tekstur, dan kualitas lainnya terus kami coba perbaiki kak, jadi sekalipun harga turun nggak perlu khawatir kualitas ikut menurun ya, karena kami upayakan agar kualitasnya terus meningkat. 🙏🏻";0;1;0;1;in;773884744597725184;1689611517849911296;lemonilo;https://twitter.com/lemonilo/status/1689631742624464896
Thu Jul 27 09:35:47 +0000 2023;1684497804075630592;"Favorite Moni! Selain natriumnya lebih sedikit, rasanya enak, dan teksturnya sedikit beda dengan varian Mie Lemonilo yang lain karena ini dari Mie Konjak.🥰";0;2;0;6;in;773884744597725184;1684497804075630592;lemonilo;https://twitter.com/lemonilo/status/1684497804075630592
Thu Jul 27 08:42:17 +0000 2023;1684484339374202880;"@kegblgnunfaedh Mie yang dipanggang bukan digoreng hadir🙋🏻‍♀️";0;0;1;1;in;773884744597725184;1683095616782745601;lemonilo;https://twitter.com/lemonilo/status/1684484339374202880
Sat Jul 08 11:09:56 +0000 2023;1677636128911028224;"@AVuppyeyes Ini sampe capslock jebol pasti beneran menikmati Mie Lemonilo bangeet nih. Seneng bacanya kak 🥰 semoga bisa selalu jadi comfort food kamu ya.";0;0;0;0;in;773884744597725184;1677314550100635652;lemonilo;https://twitter.com/lemonilo/status/1677636128911028224
Fri May 05 03:11:01 +0000 2023;1654322781797109760;"@ceemoery Jalan tengahnya makan Mie Lemonilo Soto Koya kak 😌🙏🏻";0;0;0;0;in;773884744597725184;1652934105800273920;lemonilo;https://twitter.com/lemonilo/status/1654322781797109760
Sun Apr 16 16:35:49 +0000 2023;1647639944813486080;"@FFOODFESS Opor Ayam, Rendang, sama Bakso nder. Biasanya kalau pagi tuh Opor Ayam dan kadang ada alternatif Rendang. Siang-an dikit kelar halal bihalal keliling yang dimakan Bakso. Sore-an kalau dah laper lagi bikin Mie Instan.";0;0;0;0;in;773884744597725184;1647243731844706307;lemonilo;https://twitter.com/lemonilo/status/1647639944813486080
Thu Apr 06 20:49:21 +0000 2023;1644079871512186880;"Sahur dan berbuka makin nikmat dengan Mie Lemonilo harga 5000-an. Resepnya wajib kamu coba ya! 😍 https://t.co/I1gBRQ3QGA";0;0;0;3;in;773884744597725184;1644079871512186880;lemonilo;https://twitter.com/lemonilo/status/1644079871512186880
Tue Apr 04 05:44:42 +0000 2023;1643127431321247744;"@FFOODFESS Mie kangkung. Pakenya varian Mie Goreng.";0;0;0;0;in;773884744597725184;1643074312558235648;lemonilo;https://twitter.com/lemonilo/status/1643127431321247744
Mon Apr 03 08:04:05 +0000 2023;1642800120113815552;"@Fromfira Saat ini baru varian Mie Goreng kak yang harganya lima ribuan. Silakan nyalakan lonceng atau notifikasinya untuk update harga terbaru dari Lemonilo. Cuss langsung serbuuu supermarket terdekat kamu! 🥰";0;0;0;0;in;773884744597725184;1642773511117901824;lemonilo;https://twitter.com/lemonilo/status/1642800120113815552
Mon Apr 03 06:18:20 +0000 2023;1642773511117901824;"Lemonilo selalu melangkah untuk menyehatkan masyarakat Indonesia. Dengan harga 5 ribuan, memberi yang terbaik untuk semua.  Yuk, serbu Mie Lemonilo di Alfamart dan Indomaret terdekatmu! https://t.co/zmZ2NBA22X";0;1;0;3;in;773884744597725184;1642773511117901824;lemonilo;https://twitter.com/lemonilo/status/1642773511117901824
Sun Apr 02 13:47:17 +0000 2023;1642524103491096578;"@Askrlfess Atas petir, lawan angin, mana gelap-gelapan sendirian. Mending sedia stock kayak telur, abon, mie, atau telur asin aja nder 😭🙏🏻";0;0;0;0;in;773884744597725184;1641922089023340546;lemonilo;https://twitter.com/lemonilo/status/1642524103491096578
