"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Sep 18 04:04:53 +0000 2023","1703621087446413428","Hari-hari ngebadut 🤡🤡​  Yaudahlah  walau jadi badut tapi tetep skuy seruput Pop Mie~ https://t.co/90OGgs2by0","210","445","671","17167","in","1500632004","1703621087446413428","ngePopMie","https://twitter.com/ngePopMie/status/1703621087446413428","https://pbs.twimg.com/media/F6R6WHaboAAcZkH.jpg",""
"Mon Jul 24 08:02:15 +0000 2023","1683387103361798145","Siapa nih yang juga jadi pada kicep pas nyokapnya temen tiba-tiba masuk pas klean lagi mabar?  Untung yang dibawain Pop Mie  fix lanjut seru terus kuy~ https://t.co/QfILXxMk9z","12","21","61","1680","in","1500632004","1683387103361798145","ngePopMie","https://twitter.com/ngePopMie/status/1683387103361798145","https://pbs.twimg.com/media/F1yXoxGaIAA-Hw6.jpg",""
"Wed Oct 18 03:23:34 +0000 2023","1714482323201335415","BARU! Indomie x Pop Mie Tori Miso Ramen! Usahagi  Naburo  dan Lutfy udah siap seseruan kapan aja dan di mana aja!  Kuy Sobi-San  nikmatin kolaborasi Indomie x Pop Mie Tori Miso Ramen dengan topping Nori! #ManzokuRasanyaGenggamSerunya https://t.co/KS4fqoTDR4","4","8","35","387","in","1500632004","1714482323201335415","ngePopMie","https://twitter.com/ngePopMie/status/1714482323201335415","https://pbs.twimg.com/ext_tw_video_thumb/1714482005453520896/pu/img/vYqKx4Z4IUa7iDgf.jpg",""
"Tue Sep 26 05:44:56 +0000 2023","1706545368400642065","Omaygattt  ternyata sobi ini cuma perlu seruput Pop Mie biar mood nya jadi happy lagi 🥹​ dan sekarang doi jadi nyetok Pop Mie biar selalu skuyy​  Cr. Yuk-PopMie https://t.co/IChifeEjzt","0","3","3","236","in","1500632004","1706545368400642065","ngePopMie","https://twitter.com/ngePopMie/status/1706545368400642065","https://pbs.twimg.com/media/F67d8mPb0AAYZid.jpg",""
"Fri May 05 05:31:28 +0000 2023","1654358125171064833","Mimin penasaran deh  ini si mbak2 merah sama2 bisa bikin seru kayak Pop Mie Ayam gak ya Sob? https://t.co/gnWIUoxac2","224","325","995","29684","in","1500632004","1654358125171064833","ngePopMie","https://twitter.com/ngePopMie/status/1654358125171064833","https://pbs.twimg.com/media/FvV17kraQAkJvsZ.jpg",""
"Wed Apr 19 05:16:43 +0000 2023","1648556209123762176","Sobi-sobi kuy nonton video full #SobiBertanyaMamangMenjawab edisi receh battle ini di YouTube Pop Mie Official!   Akhir kata  makasih yak Sob udah ngikutin keseruan #SobiBertanyaMamangMenjawab di Ramadan kali ini. Makan yuyu baek-baek kelolodan  see you di ramadan taun depan! https://t.co/VBEySK58Mc","0","7","4","333","in","1500632004","1648556209123762176","ngePopMie","https://twitter.com/ngePopMie/status/1648556209123762176","https://pbs.twimg.com/ext_tw_video_thumb/1648556109559648257/pu/img/xebytWwZ-b0Gww48.jpg",""
"Fri Jul 28 04:57:44 +0000 2023","1684790217658744832","Biar kata mabar lo GG atau enggak  yang penting nikmatin aja dulu pedesnya hidup lo pake Pop Mie Pedas Dower Pangsit Jontor. Pasti tetep berasa gacorr  Sob! https://t.co/44rvQ2rYsn","0","12","1","340","in","1500632004","1684790217658744832","ngePopMie","https://twitter.com/ngePopMie/status/1684790217658744832","https://pbs.twimg.com/media/F2GTxFObYAAjx_I.jpg",""
"Wed Oct 11 10:36:16 +0000 2023","1712054502134812752","Jebakan Dating Apps 😵‍💫​                  💗Ketemu crush💗​  🍜Seruput 🍜           🥰Ngobrol🥰​      Pop Mie​                 💔💔Ghosting💔💔","19","35","87","2490","in","1500632004","1712054502134812752","ngePopMie","https://twitter.com/ngePopMie/status/1712054502134812752","",""
"Tue Aug 29 09:13:07 +0000 2023","1696450898313281674","Biar gak keabisan bundling-bundling menguntungkannya  buru deh lo pada sikat di Pop Mie Official Store e-Commerce langganan lo!  Cek sekarang juga di https://t.co/ehoZxuc6NN! https://t.co/hsKDjzXqHQ","1","1","3","124","in","1500632004","1696450898313281674","ngePopMie","https://twitter.com/ngePopMie/status/1696450898313281674","https://pbs.twimg.com/media/F4sBEaNakAAbI6H.jpg",""
"Fri Jul 14 10:28:08 +0000 2023","1679799934231678982","Hal yang dipikirin sebelum sampe pos tenda: Bikin tenda - masak air panas - nyeruput Pop Mie Beneran gak nih Sobi-sobi yang anak gunung? https://t.co/bYc7KGwctC","3","14","17","747","in","1500632004","1679799934231678982","ngePopMie","https://twitter.com/ngePopMie/status/1679799934231678982","https://pbs.twimg.com/media/F0_Y8PxaIAE0t-b.jpg",""
